Strain,B1_req,B2_req,B3_req,B5_req,B6_req,B9_req,B12_req,Kx_req,B1_syn,B2_syn,B3_syn,B5_syn,B6_syn,B9_syn,B12_syn,Kx_syn,Cluster
Abiotrophia_defectiva_ATCC_49176,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,B6++
Achromobacter_xylosoxidans_A8,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Achromobacter_xylosoxidans_NBRC_15126,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,None
Acidaminococcus_fermentans_DSM_20731,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,B6++
Acidaminococcus_intestini_RyC_MR95,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,B6++
Acidaminococcus_sp_D21,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,B6+
Acinetobacter_baumannii_AB0057,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,None
Acinetobacter_calcoaceticus_PHEA_2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,K+
Acinetobacter_haemolyticus_NIPH_261,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Acinetobacter_johnsonii_SH046,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Acinetobacter_junii_SH205,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,()
Acinetobacter_lwoffii_WJ10621,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Acinetobacter_pittii_ANC_4052,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Acinetobacter_radioresistens_NIPH_2130,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,B9+
Actinobacillus_pleuropneumoniae_L20,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,B5++
Actinomyces_cardiffensis_F0333,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,None
Actinomyces_georgiae_DSM_6843,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,None
Actinomyces_graevenitzii_C83,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,B6++
Actinomyces_naeslundii_str_Howell_279,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,None
Actinomyces_odontolyticus_ATCC_17982,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,None
Actinomyces_oris_K20,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Actinomyces_turicensis_ACS_279_V_Col4,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,None
Actinomyces_urogenitalis_DSM_15434,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,None
Actinomyces_viscosus_C505,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,None
Adlercreutzia_equolifaciens_DSM_19450,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,None
Aerococcus_viridans_ATCC_11563,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Aeromonas_caviae_Ae398,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,()
Aeromonas_jandaei_Riv2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Aeromonas_media_WS,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Aeromonas_veronii_B565,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Afipia_birgiae_34632,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,None
Aggregatibacter_aphrophilus_NJ8700,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,B1+B3+B5+
Agrobacterium_tumefaciens_F2,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,None
Akkermansia_muciniphila_ATCC_BAA_835,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,K+
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,K+
Alcaligenes_faecalis_subsp_faecalis_NCIB_8687,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,()
Alistipes_finegoldii_DSM_17242,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,B9+
Alistipes_indistinctus_YIT_12060,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Alistipes_onderdonkii_DSM_19147,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,None
Alistipes_putredinis_DSM_17216,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,B5++
Alistipes_shahii_WAL_8301,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,None
Alloprevotella_tannerae_ATCC_51259,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,B5++
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,B3+
Anaerobiospirillum_succiniciproducens_DSM_640001,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,B5++
Anaerococcus_hydrogenalis_DSM_7454,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,B3+
Anaerococcus_prevotii_DSM_20548,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,None
Anaerococcus_vaginalis_ATCC_51170,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Anaerofustis_stercorihominis_DSM_17244,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,None
Anaerostipes_caccae_DSM_14662,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,()
Anaerostipes_hadrus_DSM_3319,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,None
Anaerostipes_sp_3_2_56FAA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,()
Anaerotruncus_colihominis_DSM_17241,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,B6+
Aneurinibacillus_aneurinilyticus_ATCC_12856,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Arcanobacterium_haemolyticum_DSM_20595,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Arcobacter_butzleri_RM4018,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,None
Arthrobacter_castelli_DSM_16402,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Atopobium_minutum_10063974,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Atopobium_parvulum_DSM_20469,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Atopobium_rimae_ATCC_49626,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Bacillus_altitudinis_41KF2b,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_amyloliquefaciens_DSM7,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_amyloliquefaciens_subsp_amyloliquefaciens_DC_12,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_atrophaeus_ATCC_49822_1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_cereus_AH187_F4810_72,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,()
Bacillus_cereus_G9842,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,()
Bacillus_clausii_KSM_K16,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Bacillus_endophyticus_2102,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_firmus_DS1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_flexus_27Col1_1E,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_fordii_DSM_16014,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_halodurans_C_125,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,None
Bacillus_infantis_NRRL_B_14911,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_licheniformis_ATCC_14580,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_megaterium_DSM319,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_mojavensis_RO_H_1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_mycoides_DSM_2048,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_nealsonii_AAU1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_pseudofirmus_OF4,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Bacillus_pumilus_ATCC_7061,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_sonorensis_L12,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_subtilis_str_168,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Bacillus_thermoamylovorans,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,None
Bacillus_thuringiensis_serovar_thuringiensis_str_T01001,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_timonensis_10403023,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bacillus_vallismortis_DV1_F_3,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,None
Bacteroides_caccae_ATCC_43185,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_cellulosilyticus_DSM_14838,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_clarus_YIT_12056,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,()
Bacteroides_coprocola_M16_DSM_17136,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,B6
Bacteroides_coprophilus_DSM_18228,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,B6
Bacteroides_dorei_DSM_17855,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_eggerthii_1_2_48FAA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_eggerthii_DSM_20697,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_faecis_MAJ27,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,None
Bacteroides_finegoldii_DSM_17565,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_fluxus_YIT_12057,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,None
Bacteroides_fragilis_3_1_12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_fragilis_638R,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,()
Bacteroides_fragilis_NCTC_9343,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,()
Bacteroides_fragilis_YCH46,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,()
Bacteroides_graminisolvens_DSM_19988,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,K+
Bacteroides_intestinalis_341_DSM_17393,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_massiliensis_B846dnLKV334,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Bacteroides_nordii_CL02T12C05,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Bacteroides_oleiciplenus_YIT_12058,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Bacteroides_ovatus_ATCC_8483,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_ovatus_SD_CC_2a,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_ovatus_SD_CMC_3f,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_pectinophilus_ATCC_43243,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,B6+
Bacteroides_plebeius_M12_DSM_17135,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,B6
Bacteroides_pyogenes_DSM20611,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Bacteroides_salyersiae_WAL_10018,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Bacteroides_sp_1_1_14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_1_1_30,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_1_1_6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_20_3,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,B6
Bacteroides_sp_2_1_22,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_2_1_33B,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_2_1_7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_2_2_4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_3_1_19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_3_1_23,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_3_1_33FAA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_3_1_40A,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_3_2_5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_4_1_36,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_4_3_47FAA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_9_1_42FAA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_D1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_D2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_D20,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_sp_D22,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_stercoris_ATCC_43183,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_thetaiotaomicron_VPI_5482,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,()
Bacteroides_timonensis_AP1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Bacteroides_uniformis_ATCC_8492,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_ureolyticus_DSM_20703,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,None
Bacteroides_vulgatus_ATCC_8482,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,()
Bacteroides_xylanisolvens_SD_CC_1b,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Bacteroides_xylanisolvens_XB1A,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Barnesiella_intestinihominis_YIT_11860,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,None
Bartonella_quintana_Toulouse,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,None
Bifidobacterium_adolescentis_ATCC_15703,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,B1+B3+B5+
Bifidobacterium_angulatum_DSM_20098,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,None
Bifidobacterium_animalis_lactis_AD011,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,None
Bifidobacterium_animalis_lactis_BB_12,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Bifidobacterium_animalis_lactis_Bi_07,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,B1+B3+B5+
Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Bifidobacterium_animalis_lactis_CNCM_I_2494,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Bifidobacterium_animalis_lactis_DSM_10140,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Bifidobacterium_animalis_lactis_V9,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Bifidobacterium_bifidum_BGN4,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,B5++
Bifidobacterium_bifidum_NCIMB_41171,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,B2+
Bifidobacterium_bifidum_PRL2010,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,None
Bifidobacterium_bifidum_S17,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,B5++
Bifidobacterium_boum_DSM_20432,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,B5++
Bifidobacterium_breve_HPH0326,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,B5++
Bifidobacterium_breve_UCC2003_NCIMB8807,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,None
Bifidobacterium_catenulatum_DSM_16992,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,None
Bifidobacterium_coryneforme_DSM_20216,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Bifidobacterium_dentium_ATCC_27678,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,B1+B3+B5+
Bifidobacterium_gallicum_DSM_20093,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,None
Bifidobacterium_kashiwanohense_DSM_21854,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,B5++
Bifidobacterium_longum_DJO10A,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,None
Bifidobacterium_longum_E18,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,None
Bifidobacterium_longum_infantis_157F_NC,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,B2+
Bifidobacterium_longum_infantis_ATCC_15697,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,()
Bifidobacterium_longum_longum_ATCC_55813,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,B2+
Bifidobacterium_longum_longum_BBMN68,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,None
Bifidobacterium_longum_longum_CCUG_52486,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,B2+
Bifidobacterium_longum_longum_JCM_1217,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,None
Bifidobacterium_longum_longum_JDM301,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,None
Bifidobacterium_longum_NCC2705,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,B2+
Bifidobacterium_mongoliense_DSM_21395,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Bifidobacterium_pseudocatenulatum_DSM_20438,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,None
Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Bifidobacterium_ruminantium_DSM_6489,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Bifidobacterium_scardovii_JCM_12489,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Bifidobacterium_stercoris_DSM_24849,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,None
Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,B5++
Bifidobacterium_thermophilum_RBL67,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,B5++
Bilophila_wadsworthia_3_1_6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,()
Blastococcus_massiliensis_AP3,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,B9+
Blautia_hansenii_VPI_C7_24_DSM_20583,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,()
Blautia_hydrogenotrophica_DSM_10507,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,B6+
Blautia_obeum_ATCC_29174,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Blautia_producta_DSM_2950,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,B5++
Blautia_wexlerae_DSM_19850,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,None
Bordetella_hinzii_OH87_BAL007II,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,B6++
Brachybacterium_paraconglomeratum_LC44,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,None
Brachyspira_pilosicoli_B2904,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,B6++
Bradyrhizobium_elkanii_USDA_76,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Bradyrhizobium_japonicum_USDA_6,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,None
Brevibacillus_agri_5_2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Brevibacillus_agri_BAB_2500,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Brevibacillus_borstelensis_AK1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,None
Brevibacillus_brevis_NBRC_100599,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Brevibacterium_casei_S18,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,B9+
Brevibacterium_linens_BL2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Brevibacterium_massiliense_5401308,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,None
Brevundimonas_bacteroides_DSM_4726,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,None
Brevundimonas_diminuta_470_4,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Brochothrix_thermosphacta_DSM_20171,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
